time(ms), time(min), bat 1 current, bat 1 voltage, bat 2 current, bat 2 voltage, bat 1 soc, bat 2 soc, bat 1 soh, bat 2 soh, bat 1 min cell temp, bat 2 min cell temp, bat 1 max cell temp, bat 2 max cell temp, bat 1 avg cell temp, bat 2 avg cell temp, bat 1 cell 1 temp, bat 1 cell 2 temp, bat 1 cell 3 temp, bat 1 cell 4 temp, bat 1 cell 5 temp, bat 1 cell 6 temp, bat 1 cell 7 temp, bat 1 cell 8 temp, bat 1 cell 9 temp, bat 1 cell 10 temp, bat 1 cell 11 temp, bat 1 cell 12 temp, bat 1 cell 13 temp, bat 1 cell 14 temp, bat 1 cell 15 temp, bat 1 cell 16 temp, bat 2 cell 1 temp, bat 2 cell 2 temp, bat 2 cell 3 temp, bat 2 cell 4 temp, bat 2 cell 5 temp, bat 2 cell 6 temp, bat 2 cell 7 temp, bat 2 cell 8 temp, bat 2 cell 9 temp, bat 2 cell 10 temp, bat 2 cell 11 temp, bat 2 cell 12 temp, bat 2 cell 13 temp, bat 2 cell 14 temp, bat 2 cell 15 temp, bat 2 cell 16 temp, bat 1 min cell volt, bat 2 min cell volt, bat 1 max cell volt, bat 2 max cell volt, inverter operating time, requested torque, motor rpm, motor power, motor temp, IAS, stall_pressure_diff_raw, stall_warn_active, stall_calibrated_value, inverter temp, bat 1 cooling temp, inverter cooling temp 1, inverter cooling temp 2, remaining flight time, PRESSURE_ALT, LAT, LNG, GROUND_SPEED, ACC_LONG, ACC_LAT, ACC_NORM, PITCH, ROLL, TIMESTAMP, HEADING, STALL_DIFF_PRESSURE, QNG, OAT, ISO leakage current, ias_derivative, pitch_derivative, roll_derivative, alt_derivative
1873.628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1980.352, 0.03189735, 0, 0, 0, 0, 93, 93, 89, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2080.376, 0.03461381666666667, 0.0, 392.8, 0.0, 393.2, 93, 93, 89, 92, 17, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 4093.7, 4094.5, 4096.0, 4096.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 19, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2180.627, 0.0352361, 0.0, 392.8, 0.0, 393.2, 93, 93, 89, 92, 17, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 4093.7, 4094.5, 4096.0, 4096.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 19, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2280.757, 0.037933216666666665, 0.0, 392.8, 0.0, 393.2, 93, 93, 89, 92, 17, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 4093.8, 4094.5, 4096.0, 4096.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 19, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2380.904, 0.03856628333333333, 0.0, 392.8, 0.0, 393.2, 93, 93, 89, 92, 17, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 4093.8, 4094.5, 4096.0, 4096.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 19, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2481.038, 0.04126635, 0.0, 392.8, 0.0, 393.2, 93, 93, 89, 92, 17, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 4093.7, 4094.5, 4096.0, 4096.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 19, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2581.148, 0.04193178333333333, 0.0, 392.8, 0.0, 393.2, 93, 93, 89, 92, 17, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 4093.7, 4094.5, 4096.0, 4096.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 19, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2685.67, 0.044601416666666664, 0.0, 392.8, 0.0, 393.2, 93, 93, 89, 92, 17, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 4093.7, 4094.4, 4095.9, 4096.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 19, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2785.786, 0.04544548333333333, 0.0, 392.8, 0.0, 393.2, 93, 93, 89, 92, 17, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 4093.7, 4094.4, 4095.9, 4096.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 19, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
